Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
09:58:16.136,,105,721,562
09:58:16.174,,1366,143,-1529
09:58:16.212,,1533,28,-773
09:58:16.250,,905,-184,1311
09:58:16.288,,148,-311,1998
09:58:16.326,,-679,29,1998
09:58:16.364,,-1319,631,1903
09:58:16.402,,40,746,721
09:58:16.440,,1384,80,-1180
09:58:16.478,,1403,136,-980
09:58:16.516,,1086,-101,945
09:58:16.554,,248,-343,1998
09:58:16.592,,-652,143,1998
09:58:16.630,,-1158,601,1981
09:58:16.668,,-311,768,1010
09:58:16.706,,1036,308,-735
09:58:16.744,,1648,-136,-1089
09:58:16.782,,1300,-269,526
09:58:16.820,,349,-389,1974
09:58:16.858,,-537,-83,1998
09:58:16.896,,-1242,459,1997
09:58:16.934,,-537,773,1116
09:58:16.972,,763,404,-414
09:58:17.010,,1428,49,-1244
09:58:17.048,,1426,-148,-10
09:58:17.086,,665,-427,1728
09:58:17.124,,-55,-298,1998
09:58:17.162,,-1125,180,1998
09:58:17.200,,-1145,794,1693
09:58:17.238,,240,644,475
09:58:17.276,,1217,195,-1175
09:58:17.314,,1308,-25,-434
09:58:17.352,,1202,-414,958
09:58:17.390,,395,-407,1996
09:58:17.428,,-498,-123,1998
09:58:17.466,,-1119,373,1992
09:58:17.504,,-480,736,1265
09:58:17.542,,510,399,-21
09:58:17.580,,1221,196,-936
09:58:17.617,,1364,-95,-146
09:58:17.655,,1015,-375,1444
09:58:17.693,,107,-305,1998
09:58:17.731,,-664,-78,1998
09:58:17.769,,-825,324,1946
09:58:17.807,,-466,518,1106
09:58:17.845,,525,558,-133
09:58:17.883,,1127,-75,-739
09:58:17.921,,1210,-249,222
09:58:17.959,,824,-363,1428
09:58:17.997,,-44,-381,1998
09:58:18.035,,-716,-110,1998
09:58:18.073,,-817,430,1735
09:58:18.111,,-224,631,-426
09:58:18.149,,1111,15,-440
09:58:18.187,,1236,-227,610
09:58:18.225,,760,-517,1847
09:58:18.263,,-253,-195,1998
09:58:18.301,,-1036,103,1998
09:58:18.339,,-818,524,1429
09:58:18.377,,216,522,266
09:58:18.415,,991,68,-644
09:58:18.453,,1155,-11,-115
09:58:18.491,,1150,-318,978
09:58:18.529,,377,-361,1972
09:58:18.567,,-590,-81,1998
09:58:18.605,,-966,183,1985
09:58:18.643,,-465,571,968
09:58:18.681,,638,432,-205
09:58:18.719,,1101,-18,-609
09:58:18.757,,1192,-186,316
09:58:18.795,,973,-414,1467
09:58:18.833,,-18,-324,1998
09:58:18.871,,-827,-41,1998
09:58:18.909,,-747,391,1614
09:58:18.947,,-157,502,495
09:58:18.985,,869,215,-395
09:58:19.023,,1233,-43,-221
09:58:19.061,,1323,-366,791
09:58:19.099,,721,-409,1837
09:58:19.137,,-629,-149,1998
09:58:19.175,,-939,148,1985
09:58:19.213,,-573,439,1180
09:58:19.251,,332,490,125
09:58:19.289,,1018,29,-522
09:58:19.327,,1037,-63,33
09:58:19.365,,1140,-288,859
09:58:19.403,,447,-416,1951
09:58:19.441,,-581,-177,1998
09:58:19.479,,-660,6,1998
09:58:19.517,,-488,399,1186
09:58:19.555,,190,577,46
09:58:19.593,,863,97,-603
09:58:19.631,,1094,-39,-12
09:58:19.669,,1114,-348,1089
09:58:19.707,,489,-386,1939
09:58:19.745,,-541,-236,1998
09:58:19.783,,-685,62,1985
09:58:19.821,,-457,418,1153
09:58:19.859,,274,517,40
09:58:19.897,,858,86,-568
09:58:19.935,,1130,-125,103
09:58:19.973,,1141,-430,1150
09:58:20.011,,196,-228,1996
09:58:20.049,,-641,-170,1998
09:58:20.087,,-894,241,1926
09:58:20.125,,-507,615,878
09:58:20.163,,562,485,-97
09:58:20.201,,1130,38,-576
09:58:20.239,,1389,-109,325
09:58:20.277,,1221,-495,1443
09:58:20.315,,-87,-325,1998
09:58:20.353,,-908,41,1998
09:58:20.391,,-931,562,1578
09:58:20.429,,-236,503,696
09:58:20.467,,929,-5,-464
09:58:20.505,,1530,-382,1016
09:58:20.623,,-1231,465,1885
09:58:20.625,,-1231,465,1885
09:58:20.626,,-1231,465,1885
09:58:20.657,,-705,650,1007
09:58:20.695,,484,386,199
09:58:20.733,,1244,20,-657
09:58:20.771,,1621,-305,185
09:58:20.809,,1242,-462,1426
09:58:20.847,,-79,-107,1998
09:58:20.885,,-1299,190,1998
09:58:20.923,,-1131,683,1644
09:58:20.961,,42,603,719
09:58:20.999,,1332,115,-559
09:58:21.037,,1647,-261,-381
09:58:21.075,,1385,-429,846
09:58:21.113,,231,-239,1968
09:58:21.151,,-1040,24,1998
09:58:21.189,,-1142,452,1890
09:58:21.227,,-242,515,918
09:58:21.265,,961,300,-619
09:58:21.303,,1411,13,-781
09:58:21.341,,1477,-196,389
09:58:21.379,,803,-449,1839
09:58:21.417,,-513,-7,1998
09:58:21.455,,-1400,429,1998
09:58:21.493,,-658,606,1411
09:58:21.531,,833,476,-148
09:58:21.569,,1636,100,-1251
09:58:21.607,,1547,-160,154
09:58:21.645,,885,-521,1744
09:58:21.683,,-313,-138,1998
09:58:21.721,,-1172,204,1998
09:58:21.759,,-1024,757,1291
09:58:21.797,,669,696,-375
09:58:21.835,,1471,83,-1057
09:58:21.873,,1648,-158,114
09:58:21.911,,984,-543,1759
09:58:21.949,,-167,-88,1998
09:58:21.987,,-1147,189,1998
09:58:22.025,,-1060,600,1679
09:58:22.063,,395,575,287
09:58:22.101,,1509,36,-1071
09:58:22.139,,1764,-243,-162
09:58:22.177,,1352,-377,1178
09:58:22.215,,109,-231,1998
09:58:22.253,,-773,-96,1998
09:58:22.291,,-881,403,1831
09:58:22.329,,-374,608,559
09:58:22.367,,930,347,-500
09:58:22.405,,1653,-169,-550
09:58:22.443,,1646,-466,584
09:58:22.481,,592,-201,1768
09:58:22.519,,-694,-258,1998
09:58:22.557,,-1046,261,1984
09:58:22.595,,-599,529,1076
09:58:22.633,,645,375,102
09:58:22.671,,1119,-115,-536
09:58:22.709,,1315,-43,-91
09:58:22.747,,1187,-146,960
09:58:22.785,,85,-347,1972
09:58:22.823,,-982,352,1770
09:58:22.861,,-448,637,301
09:58:22.899,,1041,151,-320
09:58:22.937,,1077,-243,134
09:58:22.975,,388,-281,1303
09:58:23.013,,-162,-121,1858
09:58:23.051,,-70,-58,1378
09:58:23.089,,-43,12,995
09:58:23.127,,-15,77,885
09:58:23.165,,-14,10,1155
09:58:23.203,,127,-58,1189
09:58:23.241,,24,6,1003
09:58:23.279,,-103,50,1085
09:58:23.317,,-32,-30,1078
09:58:23.355,,-91,24,1066
09:58:23.393,,-4,-2,1049
09:58:23.431,,-20,-34,1067
09:58:23.469,,-17,-23,1060
09:58:23.507,,-17,-24,1060
09:58:23.545,,-18,-24,1061
09:58:23.583,,-18,-24,1061
09:58:23.621,,-17,-24,1060
09:58:23.659,,-17,-23,1061
09:58:23.697,,-18,-24,1060
09:58:23.735,,-15,-24,1059
09:58:23.773,,-18,-24,1061
09:58:23.811,,-20,-23,1062
09:58:23.849,,-18,-24,1060
09:58:23.887,,-17,-24,1061
09:58:23.925,,-17,-24,1062
09:58:23.963,,-18,-24,1063
09:58:24.001,,-18,-24,1061
09:58:24.039,,-18,-24,1061
09:58:24.077,,-18,-24,1061
09:58:24.115,,-18,-24,1062
09:58:24.153,,-18,-24,1062
09:58:24.191,,-18,-24,1061
09:58:24.229,,-18,-24,1062
09:58:24.267,,-17,-23,1062
09:58:24.305,,-18,-24,1061
09:58:24.343,,-17,-24,1062
09:58:24.381,,-18,-23,1061
09:58:24.419,,-18,-24,1062
09:58:24.457,,-18,-25,1061
09:58:24.495,,-18,-22,1063
09:58:24.533,,-19,-23,1062
09:58:24.571,,-18,-24,1062
09:58:24.609,,-18,-24,1061
09:58:24.647,<Jogging,,,
09:58:24.647,,-18,-23,1061
09:58:24.685,,-17,-24,1061
09:58:24.723,,-17,-24,1061
09:58:24.761,,-18,-24,1061
09:58:24.799,,-17,-24,1060
09:58:24.837,,-18,-23,1061
09:58:24.875,,-19,-24,1062
09:58:24.913,,-18,-24,1062
09:58:24.951,,-17,-24,1060
09:58:24.989,,-18,-23,1061
09:58:25.027,,-18,-24,1061
09:58:25.065,,-19,-23,1062
09:58:25.103,,-17,-23,1061
09:58:25.141,,-18,-24,1061
09:58:25.179,,-18,-24,1061
09:58:25.217,,-18,-24,1061
09:58:25.255,,-18,-24,1061
09:58:25.293,,-18,-24,1061
09:58:25.331,,-18,-23,1061
09:58:25.369,,-18,-24,1061
09:58:25.407,,-18,-24,1061
09:58:25.445,,-18,-24,1061
09:58:25.483,,-18,-24,1061
09:58:25.521,,-18,-24,1061
09:58:25.559,,-18,-24,1061
09:58:25.597,,-17,-23,1061
09:58:25.635,,-18,-24,1061
09:58:25.673,,-18,-23,1062
09:58:25.711,,-18,-24,1061
09:58:25.749,,-18,-24,1061
09:58:25.787,,-17,-24,1061
09:58:25.825,,-18,-24,1061
09:58:25.863,,-17,-24,1062
09:58:25.901,,-19,-24,1061
09:58:25.939,,-18,-24,1061
09:58:25.977,,-18,-24,1061
09:58:26.015,,-17,-24,1061
09:58:26.053,,-18,-24,1061
09:58:26.091,,-18,-23,1061
09:58:26.129,,-18,-24,1061
09:58:26.167,,-18,-24,1061
09:58:26.293,,-18,-23,1061
09:58:26.294,,-18,-23,1061
09:58:26.295,,-18,-23,1061
09:58:26.319,,-18,-24,1061
09:58:26.357,,-18,-24,1061
09:58:26.395,,-18,-24,1061
09:58:26.433,,-18,-23,1061
09:58:26.471,,-17,-24,1061
09:58:26.509,,-18,-24,1061
09:58:26.547,,-18,-24,1061
09:58:26.585,,-18,-24,1061
09:58:26.623,,-18,-24,1060
09:58:26.661,,-18,-23,1061
09:58:26.699,,-18,-24,1061
09:58:26.737,,-18,-24,1060
09:58:26.775,,-18,-23,1061
09:58:26.813,,-18,-24,1061
09:58:26.851,,-18,-24,1061
09:58:26.889,,-17,-23,1061
09:58:26.926,,-18,-24,1061
09:58:26.964,,-17,-24,1061
09:58:27.002,,-18,-24,1061
09:58:27.040,,-18,-24,1061
09:58:27.078,,-18,-24,1061
09:58:27.116,,-18,-24,1061
09:58:27.154,,-18,-24,1060
09:58:27.192,,-18,-23,1061
09:58:27.230,,-18,-24,1061
09:58:27.268,,-18,-24,1061
09:58:27.306,,-18,-24,1061
09:58:27.344,,-18,-23,1061
09:58:27.382,,-18,-24,1061
09:58:27.420,,-18,-24,1061
09:58:27.458,,-18,-24,1061
09:58:27.496,,-18,-24,1061
09:58:27.534,,-18,-24,1061
09:58:27.572,,-18,-23,1061
09:58:27.610,,-18,-24,1061
09:58:27.648,,-18,-24,1061
09:58:27.686,,-18,-23,1061
09:58:27.724,,-18,-24,1061
09:58:27.762,,-18,-24,1062
09:58:27.800,,-18,-23,1062
09:58:27.838,,-18,-24,1062
09:58:27.876,,-18,-24,1061
09:58:27.914,,-18,-24,1061
09:58:27.952,,-18,-24,1061
09:58:27.990,,-18,-23,1061
09:58:28.028,,-18,-24,1062
09:58:28.066,,-18,-24,1062
09:58:28.104,,-18,-24,1062
09:58:28.142,,-18,-24,1062
09:58:28.180,,-18,-24,1062
09:58:28.218,,-18,-24,1062
09:58:28.256,,-18,-24,1062
09:58:28.294,,-18,-24,1062
09:58:28.332,,-18,-24,1061
09:58:28.370,,-18,-23,1061
09:58:28.408,,-17,-24,1061
09:58:28.446,,-18,-24,1062
09:58:28.484,,-18,-24,1062
09:58:28.522,,-18,-23,1061
09:58:28.560,,-17,-24,1061
