Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
10:01:12.369,,-18,-25,1063
10:01:12.407,,-18,-25,1063
10:01:12.445,,-18,-26,1063
10:01:12.483,,-18,-25,1063
10:01:12.521,,-18,-25,1063
10:01:12.559,,-18,-25,1063
10:01:12.597,,-19,-25,1063
10:01:12.635,,-17,-25,1063
10:01:12.673,,-18,-25,1063
10:01:12.711,,-17,-25,1063
10:01:12.749,,-18,-25,1063
10:01:12.787,,-18,-25,1063
10:01:12.825,,-17,-25,1063
10:01:12.863,,-18,-25,1063
10:01:12.901,,-18,-25,1063
10:01:12.939,,-18,-25,1063
10:01:12.977,,-18,-25,1063
10:01:13.015,,-16,-24,1060
10:01:13.053,,-21,-26,1066
10:01:13.091,,-16,-25,1063
10:01:13.129,,-18,-25,1062
10:01:13.167,,-18,-25,1063
10:01:13.205,,-18,-25,1063
10:01:13.243,,-17,-24,1061
10:01:13.281,,-19,-25,1066
10:01:13.319,,-17,-25,1062
10:01:13.357,,-18,-25,1063
10:01:13.395,,-18,-25,1063
10:01:13.433,,-18,-25,1063
10:01:13.471,,-19,-25,1064
10:01:13.509,,-17,-24,1062
10:01:13.547,,-17,-25,1062
10:01:13.585,,-18,-25,1063
10:01:13.623,,-18,-25,1063
10:01:13.661,,-18,-26,1064
10:01:13.699,,-16,-24,1062
10:01:13.737,,-18,-25,1063
10:01:13.775,,-18,-25,1063
10:01:13.813,,-17,-25,1063
10:01:13.851,,-16,-23,1059
10:01:13.889,,-20,-26,1067
10:01:13.927,,-16,-25,1063
10:01:13.965,,-19,-25,1063
10:01:14.003,,-17,-25,1063
10:01:14.041,,-18,-25,1063
10:01:14.079,,-17,-24,1063
10:01:14.117,,-17,-25,1063
10:01:14.155,,-17,-25,1063
10:01:14.193,,-18,-25,1064
10:01:14.231,,-17,-25,1063
10:01:14.269,,-18,-25,1063
10:01:14.307,,-17,-25,1062
10:01:14.345,,-18,-24,1063
10:01:14.383,,-17,-25,1063
10:01:14.421,,-18,-25,1063
10:01:14.459,,-17,-24,1063
10:01:14.497,,-18,-25,1063
10:01:14.535,,-17,-25,1063
10:01:14.573,,-17,-25,1063
10:01:14.611,,-18,-25,1062
10:01:14.649,,-17,-25,1062
10:01:14.687,,-17,-25,1060
10:01:14.725,,-18,-25,1067
10:01:14.763,,-17,-25,1062
10:01:14.801,,-18,-25,1063
10:01:14.839,,-17,-25,1063
10:01:14.877,,-18,-25,1063
10:01:14.915,,-18,-25,1063
10:01:14.953,,-17,-25,1063
10:01:14.991,,-18,-25,1063
10:01:15.029,,-18,-25,1063
10:01:15.067,,-17,-25,1062
10:01:15.105,,-18,-25,1064
10:01:15.143,,-18,-25,1063
10:01:15.181,,-18,-25,1063
10:01:15.219,,-18,-25,1063
10:01:15.257,,-18,-25,1063
10:01:15.295,,-18,-25,1063
10:01:15.333,,-18,-25,1063
10:01:15.371,,-17,-25,1063
10:01:15.409,,-17,-25,1063
10:01:15.447,,-17,-25,1061
10:01:15.485,,-18,-25,1063
10:01:15.523,,-18,-25,1062
10:01:15.561,,-18,-25,1062
10:01:15.599,,-18,-25,1062
10:01:15.637,,-17,-25,1062
10:01:15.675,,-17,-25,1062
10:01:15.713,,-18,-25,1062
10:01:15.751,,-17,-25,1062
10:01:15.789,,-18,-25,1062
10:01:15.827,,-18,-25,1062
10:01:15.865,,-18,-25,1063
10:01:15.903,,-18,-25,1062
10:01:15.941,,-18,-25,1062
10:01:15.979,,-18,-25,1063
10:01:16.017,,-17,-25,1063
10:01:16.055,,-18,-25,1062
10:01:16.093,,-18,-25,1063
10:01:16.131,,-18,-25,1063
10:01:16.169,,-18,-25,1063
10:01:16.207,,-17,-25,1062
10:01:16.245,,-19,-26,1063
10:01:16.283,,-17,-25,1062
10:01:16.321,,-18,-25,1063
10:01:16.359,,-18,-26,1063
10:01:16.397,,-18,-25,1063
10:01:16.435,,-18,-25,1063
10:01:16.473,,-17,-25,1063
10:01:16.511,,-17,-25,1062
10:01:16.549,,-19,-26,1064
10:01:16.587,,-18,-25,1063
10:01:16.625,,-17,-25,1063
10:01:16.663,,-18,-25,1063
10:01:16.701,,-18,-25,1063
10:01:16.739,,-17,-25,1062
10:01:16.777,,-17,-25,1063
10:01:16.815,,-17,-25,1063
10:01:16.853,,-17,-26,1064
10:01:16.891,,-19,-25,1061
10:01:16.929,,-17,-25,1062
10:01:16.967,,-18,-25,1064
10:01:17.005,,-18,-25,1063
10:01:17.043,,-18,-25,1062
10:01:17.081,,-17,-25,1062
10:01:17.119,,-18,-25,1063
10:01:17.157,,-17,-24,1062
10:01:17.195,,-18,-25,1062
10:01:17.233,,-18,-25,1063
10:01:17.271,,-17,-25,1063
10:01:17.309,,-18,-25,1063
10:01:17.347,,-17,-25,1062
10:01:17.385,,-18,-25,1063
10:01:17.423,,-18,-25,1063
10:01:17.461,,-18,-25,1063
10:01:17.499,,-18,-25,1064
10:01:17.537,,-18,-25,1063
10:01:17.575,,-18,-25,1063
10:01:17.613,,-18,-25,1063
10:01:17.651,,-18,-25,1063
10:01:17.689,,-18,-25,1063
10:01:17.727,,-18,-25,1063
10:01:17.765,,-17,-25,1063
10:01:17.803,,-18,-25,1063
10:01:17.841,,-18,-25,1063
10:01:17.879,,-17,-25,1062
10:01:17.917,,-17,-25,1063
10:01:17.955,,-19,-25,1062
10:01:17.993,,-17,-25,1063
10:01:18.122,,-18,-25,1062
10:01:18.123,,-18,-25,1062
10:01:18.124,,-18,-25,1062
10:01:18.145,,-18,-25,1062
10:01:18.183,,-18,-25,1063
10:01:18.221,,-18,-25,1062
10:01:18.259,,-18,-25,1063
10:01:18.297,,-18,-26,1063
10:01:18.335,,-18,-25,1063
10:01:18.373,,-17,-25,1062
10:01:18.411,,-18,-25,1062
10:01:18.449,,-18,-25,1062
10:01:18.487,,-18,-25,1063
10:01:18.525,,-17,-25,1062
10:01:18.563,,-17,-25,1062
10:01:18.601,,-18,-25,1064
10:01:18.639,,-17,-25,1062
