Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
10:01:26.375,,-18,-25,1062
10:01:26.413,,-17,-25,1061
10:01:26.451,,-18,-25,1061
10:01:26.489,,-17,-25,1061
10:01:26.527,,-18,-25,1061
10:01:26.565,,-18,-25,1061
10:01:26.603,,-18,-25,1061
10:01:26.641,,-18,-25,1061
10:01:26.679,,-18,-25,1062
10:01:26.717,,-17,-25,1061
10:01:26.755,,-18,-25,1061
10:01:26.793,,-18,-25,1061
10:01:26.831,,-17,-25,1061
10:01:26.869,,-18,-25,1062
10:01:26.907,,-18,-25,1061
10:01:26.945,,-18,-25,1061
10:01:26.983,,-17,-25,1062
10:01:27.021,,-18,-25,1062
10:01:27.059,,-18,-25,1062
10:01:27.068,>Stairs,,,
10:01:27.097,,-18,-25,1062
10:01:27.135,,-18,-25,1061
10:01:27.173,,-17,-24,1061
10:01:27.211,,-17,-25,1061
10:01:27.249,,-17,-26,1062
10:01:27.287,,-17,-25,1061
10:01:27.325,,-17,-25,1062
10:01:27.363,,-17,-25,1062
10:01:27.401,,-17,-25,1061
10:01:27.439,,-17,-25,1062
10:01:27.477,,-18,-25,1062
10:01:27.515,,-17,-25,1062
10:01:27.553,,-18,-25,1062
10:01:27.591,,-17,-25,1062
10:01:27.629,,-17,-25,1062
10:01:27.667,,-18,-24,1062
10:01:27.705,,-18,-25,1062
10:01:27.743,,-17,-25,1062
10:01:27.781,,-685,-78,1055
10:01:27.819,,632,-19,938
10:01:27.857,,278,17,1093
10:01:27.895,,329,-36,1237
10:01:27.933,,461,-2,1366
10:01:27.971,,328,57,1201
10:01:28.009,,58,-10,1346
10:01:28.047,,-107,-26,1324
10:01:28.085,,-271,-43,1433
10:01:28.123,,-447,-23,1390
10:01:28.161,,-545,32,1238
10:01:28.199,,-429,-14,941
10:01:28.237,,-413,9,616
10:01:28.275,,-388,24,508
10:01:28.313,,-207,19,581
10:01:28.351,,-94,38,559
10:01:28.389,,-57,12,618
10:01:28.427,,108,33,660
10:01:28.465,,295,27,744
10:01:28.503,,478,7,859
10:01:28.541,,543,-87,1020
10:01:28.579,,348,-35,1282
10:01:28.617,,291,-163,1406
10:01:28.655,,300,-14,1288
10:01:28.693,,214,63,1311
10:01:28.731,,258,32,1269
10:01:28.769,,85,56,1224
10:01:28.807,,-137,62,1404
10:01:28.845,,-266,-19,1607
10:01:28.883,,-405,42,1502
10:01:28.921,,-486,1,1464
10:01:28.959,,-579,-30,1348
10:01:28.997,,-611,28,1014
10:01:29.035,,-582,101,580
10:01:29.073,,-404,98,332
10:01:29.111,,-144,-19,380
10:01:29.149,,-62,-67,428
10:01:29.187,,-62,-3,457
10:01:29.225,,123,84,543
10:01:29.263,,428,42,759
10:01:29.301,,597,53,940
10:01:29.339,,570,-17,1202
10:01:29.377,,582,-61,1408
10:01:29.415,,447,35,1418
10:01:29.453,,462,91,1271
10:01:29.491,,408,176,1454
10:01:29.529,,309,203,1370
10:01:29.567,,114,145,1488
10:01:29.605,,-67,152,1385
10:01:29.643,,-364,154,1372
10:01:29.681,,-574,22,1448
10:01:29.719,,-619,15,1308
10:01:29.757,,-520,31,1049
10:01:29.795,,-490,13,915
10:01:29.833,,-465,32,725
10:01:29.871,,-293,38,515
10:01:29.909,,-123,-5,392
10:01:29.947,,-39,16,293
10:01:29.985,,115,26,507
10:01:30.023,,226,-11,847
10:01:30.061,,520,90,865
10:01:30.099,,573,-18,1064
10:01:30.137,,656,75,1019
10:01:30.175,,500,14,1434
10:01:30.213,,431,40,1460
10:01:30.251,,454,153,1288
10:01:30.289,,413,226,1372
10:01:30.327,,349,170,1281
10:01:30.365,,246,153,1435
10:01:30.403,,6,115,1632
10:01:30.441,,-182,40,1673
10:01:30.479,,-303,19,1365
10:01:30.517,,-369,49,1097
10:01:30.555,,-436,-27,1042
10:01:30.593,,-450,15,777
10:01:30.631,,-370,-8,630
10:01:30.669,,-278,-22,509
10:01:30.707,,-130,-24,413
10:01:30.745,,38,0,465
10:01:30.783,,213,-61,743
10:01:30.821,,429,43,778
10:01:30.859,,540,-63,996
10:01:30.897,,594,56,916
10:01:30.935,,590,7,1311
10:01:30.973,,516,186,1348
10:01:31.011,,441,156,1238
10:01:31.049,,117,170,1398
10:01:31.087,,244,272,1278
10:01:31.125,,31,76,1564
10:01:31.163,,-210,129,1523
