Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
09:59:42.376,,-18,-23,1063
09:59:42.414,,-18,-24,1062
09:59:42.452,,-18,-23,1063
09:59:42.490,,-18,-24,1062
09:59:42.528,,-18,-23,1063
09:59:42.566,,-18,-23,1063
09:59:42.604,,-18,-24,1063
09:59:42.642,,-18,-24,1063
09:59:42.680,,-17,-23,1062
09:59:42.718,,-18,-24,1063
09:59:42.756,,-18,-23,1063
09:59:42.794,,-18,-24,1063
09:59:42.832,,-18,-24,1063
09:59:42.870,,-18,-23,1063
09:59:42.908,,-18,-23,1063
09:59:42.946,,-18,-24,1063
09:59:42.984,,-18,-23,1063
09:59:43.022,,-18,-23,1062
09:59:43.060,,-18,-23,1063
09:59:43.098,,-18,-23,1063
09:59:43.136,,-18,-23,1062
09:59:43.174,,-18,-23,1063
09:59:43.212,,-18,-24,1063
09:59:43.250,,-18,-23,1062
09:59:43.288,,-18,-24,1063
09:59:43.326,,-18,-24,1063
09:59:43.364,,-18,-24,1063
09:59:43.402,,-18,-23,1063
09:59:43.440,,-18,-24,1063
09:59:43.459,>Walking,,,
09:59:43.478,,-18,-24,1063
09:59:43.516,,-18,-23,1063
09:59:43.554,,-18,-23,1063
09:59:43.592,,-18,-23,1062
09:59:43.630,,-16,-23,1062
09:59:43.668,,-19,-23,1063
09:59:43.706,,-18,-23,1062
09:59:43.744,,-18,-23,1063
09:59:43.782,,-18,-23,1062
09:59:43.820,,-18,-23,1063
09:59:43.858,,-18,-23,1062
09:59:43.896,,-18,-24,1063
09:59:43.934,,-17,-23,1063
09:59:43.972,,-18,-23,1063
09:59:44.010,,-18,-23,1063
09:59:44.048,,-18,-23,1063
09:59:44.086,,-18,-23,1063
09:59:44.124,,-18,-23,1063
09:59:44.162,,-18,-23,1063
09:59:44.200,,-17,-24,1064
09:59:44.238,,-19,-23,1061
09:59:44.276,,-20,-23,1062
09:59:44.314,,-77,36,1063
09:59:44.352,,411,-46,1059
09:59:44.390,,-187,56,1077
09:59:44.428,,75,-18,1064
09:59:44.466,,164,-10,1113
09:59:44.504,,178,-9,1157
09:59:44.542,,138,53,1301
09:59:44.580,,84,79,1124
09:59:44.618,,97,40,1097
09:59:44.656,,91,7,1119
09:59:44.694,,66,-31,1136
09:59:44.732,,80,0,1107
09:59:44.770,,21,-21,1050
09:59:44.808,,-51,-74,1131
09:59:44.846,,-140,-174,1148
09:59:44.884,,-190,-101,1071
09:59:44.922,,-129,-88,1066
09:59:44.960,,-175,-108,1004
09:59:44.998,,-268,-96,983
09:59:45.036,,-288,-95,929
09:59:45.074,,-243,-68,839
09:59:45.112,,-165,-207,823
09:59:45.150,,-272,-362,881
09:59:45.188,,-336,-249,878
09:59:45.226,,-229,-296,785
09:59:45.264,,-231,-284,710
09:59:45.302,,-147,-356,903
09:59:45.340,,-119,-430,1013
09:59:45.378,,-79,-369,893
09:59:45.416,,40,-291,898
09:59:45.454,,-34,-208,934
09:59:45.492,,0,-245,901
09:59:45.530,,36,-329,1141
09:59:45.568,,148,-221,1048
09:59:45.606,,142,-168,1005
09:59:45.644,,138,-130,1155
09:59:45.682,,236,-79,1130
09:59:45.720,,203,-80,1194
09:59:45.758,,125,-41,1345
09:59:45.796,,251,42,1108
09:59:45.834,,171,60,1158
09:59:45.872,,140,61,1261
09:59:45.910,,196,98,1155
09:59:45.948,,211,146,1000
09:59:45.986,,164,168,1133
09:59:46.024,,142,151,1143
